StimeSec,isrushhour,isnight,SLONCOL,SLATCOL,ELONCOL,ELATCOL,dtdis,distance,interval
64,0,1,74,29,68,21,10.0,6785.602632269301,1014
1096,0,1,68,21,62,41,20.8806130178211,15698.063305704589,1591
10024,0,1,70,24,62,35,13.601470508735444,15144.760499037033,5213
24080,0,0,65,16,64,16,1.0,3797.0748755151976,822
24912,0,0,64,16,67,25,9.486832980505138,7497.547126698822,916
25838,1,0,67,25,65,21,4.47213595499958,4287.367646458061,1286
30643,1,0,62,19,47,23,15.524174696260024,11969.397466933124,2138
36058,0,0,60,14,59,14,1.0,3428.118626694878,634
36712,0,0,59,14,72,26,17.69180601295413,11804.87049048138,2239
38968,0,0,72,26,65,16,12.206555615733702,8676.339600600302,1432
45022,0,0,70,25,74,19,7.211102550927978,5118.6960745515225,1681
47842,0,0,75,19,76,22,3.1622776601683795,2263.3783231040866,585
48675,0,0,78,23,62,20,16.278820596099706,9303.177048228506,1401
50094,0,0,62,20,66,21,4.123105625617661,2195.449582587657,507
50606,0,0,66,21,59,17,8.06225774829855,5637.598673422851,890
51501,0,0,59,17,61,21,4.47213595499958,2999.302115428305,718
52226,0,0,61,21,76,21,15.0,10309.129674364496,1692
53933,0,0,76,21,75,24,3.1622776601683795,1968.8165614184477,598
54536,0,0,75,24,76,21,3.1622776601683795,2276.9944681986067,667
55242,0,0,76,21,67,25,9.848857801796104,26507.770405782507,4442
59702,0,0,67,25,65,16,9.219544457292887,11772.90757053254,2683
62402,0,0,65,16,74,22,10.816653826391969,9288.219293060834,2938
65344,1,0,74,22,59,18,15.524174696260024,9654.97942799827,2788
68152,1,0,59,18,114,34,57.28001396647874,32928.682657821686,5411
73569,0,0,114,34,60,42,54.589376255824725,36592.08535155016,3644
80740,0,0,59,18,69,21,10.44030650891055,8279.303397751806,1283
82042,0,0,69,21,73,23,4.47213595499958,3627.914244169924,1195
83255,0,1,73,23,74,19,4.123105625617661,2716.2922773331748,487
8728,0,1,58,54,44,53,14.035668847618199,9467.11283110645,843
30744,1,0,63,61,60,33,28.160255680657446,17344.349221244454,4040
66119,1,0,56,47,57,47,1.0,5848.097565117085,1528
69641,1,0,56,50,54,47,3.605551275463989,11370.013932239135,2880
72561,0,0,54,47,61,50,7.615773105863909,7448.877678121386,1313
76586,0,0,47,54,59,47,13.892443989449804,8867.05842036941,1570
78228,0,0,59,46,56,47,3.1622776601683795,20335.081722686893,5364
918,0,1,29,31,26,25,6.708203932499369,5594.40412478266,789
27568,1,0,62,40,54,42,8.246211251235321,11897.08436330614,2344
29920,1,0,54,42,58,39,5.0,3301.278055644428,445
30372,1,0,58,39,61,41,3.605551275463989,3810.3561975645966,905
31293,1,0,61,41,56,47,7.810249675906654,3917.516833153245,829
32131,1,0,56,47,56,41,6.0,4681.18896147603,806
54375,0,0,55,42,56,50,8.06225774829855,7041.357561058629,1864
56256,0,0,56,50,55,43,7.0710678118654755,4820.010765892538,1318
57587,0,0,55,43,56,37,6.082762530298219,9092.546880249109,2804
60408,0,0,56,37,57,50,13.038404810405298,13457.930886785378,4836
65255,1,0,57,50,48,50,9.0,7520.793612241186,1564
66823,1,0,48,50,68,42,21.540659228538015,16242.981836062005,3046
69875,1,0,68,42,68,43,1.0,1391.3677004333574,410
70294,1,0,68,43,63,42,5.0990195135927845,2753.369453095753,664
70966,1,0,63,42,68,42,5.0,11678.64742223363,2211
73192,0,0,68,42,64,43,4.123105625617661,4455.200907254392,1293
74501,0,0,64,43,73,56,15.811388300841896,15021.250155600996,1724
76236,0,0,73,56,57,49,17.46424919657298,13952.977585607743,3393
79647,0,0,57,49,54,46,4.242640687119285,3451.2718810982374,760
80417,0,0,54,46,55,47,1.4142135623730951,3519.897841521607,797
81231,0,0,55,47,56,48,1.4142135623730951,1286.4039244079297,389
81639,0,0,56,48,67,63,18.601075237738275,15012.34724344864,2240
83891,0,1,67,63,59,57,10.0,5624.02641074164,1037
1529,0,1,78,22,61,20,17.11724276862369,11646.014942092204,1792
4769,0,1,64,22,67,20,3.605551275463989,3651.7716249102623,1260
6030,0,1,67,20,76,21,9.055385138137417,5544.779609428039,676
6719,0,1,76,21,59,18,17.26267650163207,11525.265366215202,3363
10109,0,1,59,18,63,17,4.123105625617661,2605.669895440237,412
10529,0,1,63,17,64,21,4.123105625617661,2560.611971460945,614
25175,0,0,60,24,39,22,21.095023109728988,12958.349502485073,1207
26405,1,0,39,22,12,40,32.449961479175904,21711.951233316253,1726
28144,1,0,12,40,39,19,34.20526275297414,31207.02360090469,4705
32855,0,0,39,19,40,25,6.082762530298219,6316.315219404522,976
33845,0,0,40,25,37,25,3.0,3011.075363894864,738
34625,0,0,37,25,34,19,6.708203932499369,4619.095316663376,899
35539,0,0,34,19,34,16,3.0,1541.288183459718,286
35855,0,0,34,16,37,25,9.486832980505138,5813.232449929603,942
36815,0,0,37,25,34,19,6.708203932499369,3529.9108182974337,1013
37894,0,0,34,19,35,17,2.23606797749979,1311.0395635161192,443
40565,0,0,37,16,38,39,23.021728866442675,12780.211278893794,1753
